name,score
Grace Martinez,73
David Miller,85
Alice Garcia,51
Frank Rodriguez,8
Paul Hernandez,18
Karl Rodriguez,95
Alpha Brown,82
Sky Garcia,3
Solo Brown,11
Nate Davis,96
Zara Garcia,68
David Davis,27
Karl Martinez,48
Yara Miller,54
Alice Miller,59
Yara Davis,43
Quinn Miller,20
Delta Rodriguez,47
Steve Brown,39
Beta Martinez,93
Sky Miller,41
Jack Jones,100
Mona Davis,73
Steve Jones,77
Nate Rodriguez,10
David Rodriguez,6
David Martinez,19
Ursula Jones,20
David Hernandez,97
David Lopez,80
Solo Jones,6
Karl Hernandez,87
David Gonzalez,10
Frank Martinez,34
Linda Williams,57
Eva Hernandez,85
Eva Lopez,55
Paul Lopez,63
Zara Miller,78
Hannah Davis,57
Paul Gonzalez,54
Charlie Garcia,34
Frank Hernandez,27
Alpha Jones,97
Ursula Garcia,66
Quinn Davis,14
Nate Martinez,44
Ursula Miller,56
Paul Wilson,14
Quinn Rodriguez,36
Zara Davis,87
Ivan Davis,87
Tara Brown,76
Delta Martinez,63
Ursula Davis,68
Eva Gonzalez,86
Alice Davis,39
Delta Hernandez,5
Grace Hernandez,28
Eva Wilson,50
Nate Hernandez,77
Quinn Martinez,7
Ivan Rodriguez,0
Wendy Jones,26
Eva Anderson,38
Paul Anderson,27
Xander Davis,99
Steve Garcia,17
Karl Lopez,98
Gamma Garcia,32
Tara Jones,37
Alice Rodriguez,41
Tara Garcia,15
Grace Lopez,0
Ivan Martinez,64
Quinn Hernandez,96
Hannah Rodriguez,56
Grace Gonzalez,22
Jack Garcia,16
Rose Hernandez,48
Steve Miller,69
Nate Lopez,91
Victor Miller,29
Nate Gonzalez,65
Quinn Lopez,72
Sky Davis,86
Quinn Gonzalez,45
David Wilson,9
Frank Lopez,50
Beta Hernandez,95
Rose Lopez,5
Charlie Miller,56
Alice Martinez,2
Victor Davis,59
Ivan Hernandez,9
Quinn Wilson,40
Karl Gonzalez,74
Gamma Miller,55
Beta Lopez,74
Alice Hernandez,51
Hannah Martinez,91
Eva Thomas,82
Jack Miller,54
Charlie Davis,37
Xander Rodriguez,14
Jack Davis,51
Beta Gonzalez,2
Ivan Lopez,41
Charlie Rodriguez,21
Tara Miller,80
Xander Martinez,59
Charlie Martinez,89
Wendy Garcia,46
Nate Wilson,11
Paul Thomas,56
Grace Wilson,13
Wendy Miller,31
Alpha Garcia,56
Jack Rodriguez,76
Paul Taylor,51
Karl Wilson,68
Linda Brown,10
Alpha Miller,50
Bob Garcia,39
Linda Jones,96
Victor Rodriguez,43
Alpha Davis,28
Paul Moore,42
Rose Gonzalez,100
Karl Anderson,21
Grace Anderson,9
Yara Rodriguez,66
Charlie Hernandez,82
Solo Garcia,14
Olivia Gonzalez,68
Mona Rodriguez,66
Delta Lopez,24
Wendy Davis,100
Tara Davis,44
Olivia Wilson,44
Olivia Anderson,94
Bob Miller,83
Mona Martinez,18
Zara Rodriguez,30
Victor Martinez,13
Rose Wilson,18
Eva Taylor,32
Rose Anderson,25
Wendy Rodriguez,22
Zara Martinez,78
Victor Hernandez,19
Bob Davis,98
Hannah Hernandez,98
Quinn Anderson,84
Linda Garcia,9
Quinn Thomas,22
Charlie Lopez,99
Grace Thomas,81
Beta Wilson,64
Wendy Martinez,60
Ursula Rodriguez,97
Beta Anderson,73
Hannah Lopez,98
Yara Martinez,75
Mona Hernandez,58
Quinn Taylor,88
Charlie Gonzalez,73
Beta Thomas,83
Alice Lopez,82
Mona Lopez,80
Xander Hernandez,41
Beta Taylor,81
Eva Moore,40
Victor Lopez,19
Ursula Martinez,57
Hannah Gonzalez,8
Tara Rodriguez,61
Tara Martinez,57
Alpha Rodriguez,81
Ursula Hernandez,38
Zara Hernandez,35
Steve Davis,76
Ivan Gonzalez,7
Mona Gonzalez,45
Alpha Martinez,65
Yara Hernandez,9
Linda Miller,39
Tara Hernandez,60
Zara Lopez,58
Alice Gonzalez,4
Tara Lopez,7
Steve Rodriguez,47
Nate Anderson,36
Beta Moore,9
Ursula Lopez,83
Delta Gonzalez,11
Gamma Davis,79
Gamma Rodriguez,77
Nate Thomas,65
Solo Miller,49
Karl Thomas,60
Frank Gonzalez,75
Steve Martinez,71
Victor Gonzalez,95
Frank Wilson,5
Paul Jackson,58
Tara Gonzalez,74
Olivia Thomas,84
Mona Wilson,24
Jack Martinez,41
Bob Rodriguez,78
Charlie Wilson,61
Paul Martin,65
Solo Davis,19
Eva Jackson,7
Delta Wilson,58
Alpha Hernandez,13
Mona Anderson,43
Yara Lopez,92
Sky Rodriguez,10
Zara Gonzalez,65
Paul Lee,83
Jack Hernandez,22
Alice Wilson,5
Grace Taylor,31
Beta Jackson,91
Olivia Taylor,57
Linda Davis,57
Delta Anderson,68
David Anderson,67
Paul Perez,79
Hannah Wilson,20
Delta Thomas,46
Ivan Wilson,47
Delta Taylor,36
Ursula Gonzalez,49
Gamma Martinez,53
Beta Martin,100
Gamma Hernandez,43
Karl Taylor,87
Solo Rodriguez,77
Gamma Lopez,6
Quinn Moore,81
Paul Thompson,83
Rose Thomas,42
Sky Martinez,8
Paul White,42
Rose Taylor,12
Gamma Gonzalez,72
Eva Martin,87
Steve Hernandez,49
Paul Harris,36
Rose Moore,32
Victor Wilson,93
Ursula Wilson,85
Frank Anderson,78
Ivan Anderson,19
Jack Lopez,42
Olivia Moore,10
Yara Gonzalez,75
Jack Gonzalez,85
Nate Taylor,18
Eva Lee,44
Alpha Lopez,39
Alpha Gonzalez,84
Victor Anderson,90
Delta Moore,85
Alpha Wilson,50
David Thomas,16
Nate Moore,77
Alpha Anderson,91
Yara Wilson,10
Bob Martinez,39
Yara Anderson,72
Solo Martinez,48
Alice Anderson,83
Wendy Hernandez,42
Tara Wilson,16
Yara Thomas,86
Alpha Thomas,90
Olivia Jackson,95
Sky Hernandez,88
Olivia Martin,68
Rose Jackson,11
Beta Lee,83
Sky Lopez,86
Bob Hernandez,55
Yara Taylor,66
Victor Thomas,46
Zara Wilson,2
Karl Moore,46
Delta Jackson,39
Ivan Thomas,23
Bob Lopez,27
Zara Anderson,43
Bob Gonzalez,99
Frank Thomas,63
Beta Perez,24
Ivan Taylor,28
Delta Martin,17
Linda Rodriguez,19
David Taylor,9
Quinn Jackson,37
Yara Moore,12
Ursula Anderson,65
Nate Jackson,99
Delta Lee,70
Ursula Thomas,95
Victor Taylor,68
Yara Jackson,4
Rose Martin,85
Alpha Taylor,43
Quinn Martin,99
Frank Taylor,52
Solo Hernandez,16
Bob Wilson,77
David Moore,48
Wendy Lopez,19
Olivia Lee,20
Eva Perez,23
Charlie Anderson,89
Bob Anderson,99
Paul Sanchez,80
Mona Thomas,21
Bob Thomas,93
Jack Wilson,57
Paul Clark,5
Ivan Moore,53
Solo Lopez,46
Hannah Anderson,87
Nate Martin,93
Delta Perez,30
Quinn Lee,57
Xander Lopez,79
Karl Jackson,36
Hannah Thomas,97
Karl Martin,96
Tara Anderson,58
Grace Moore,29
Bob Taylor,69
Tara Thomas,30
Yara Martin,39
Zara Thomas,61
Mona Taylor,24
Eva Thompson,47
Paul Ramirez,87
Grace Jackson,74
Tara Taylor,57
Hannah Taylor,60
Charlie Thomas,99
Wendy Gonzalez,36
Beta Thompson,100
Xander Gonzalez,48
Eva White,65
Victor Moore,68
Alice Thomas,54
Alpha Moore,20
Sky Gonzalez,25
Grace Martin,78
Beta White,17
Xander Wilson,32
Delta Thompson,6
Jack Anderson,83
Beta Harris,62
Linda Martinez,47
Rose Lee,71
Solo Gonzalez,13
Delta White,92
Beta Sanchez,67
Rose Perez,15
Ursula Taylor,36
Paul Lewis,10
Frank Moore,98
Rose Thompson,20
Gamma Wilson,34
Paul Robinson,58
Delta Harris,66
Yara Lee,18
Victor Jackson,56
Bob Moore,11
Sky Wilson,28
Ursula Moore,58
Linda Hernandez,44
Sky Anderson,3
Nate Lee,54
Wendy Wilson,6
Quinn Perez,50
Victor Martin,65
Rose White,47
Rose Harris,30
Alice Taylor,49
Mona Moore,10
Frank Jackson,47
Paul Walker,28
Alpha Jackson,3
Sky Thomas,40
Paul Young,12
Solo Wilson,92
Sky Taylor,84
Gamma Anderson,42
Bob Jackson,18
Frank Martin,17
Steve Lopez,4
Olivia Perez,36
Zara Taylor,61
Paul Allen,90
Tara Moore,17
Xander Anderson,98
Solo Anderson,91
Wendy Anderson,61
Beta Clark,58
Victor Lee,79
Wendy Thomas,0
Delta Sanchez,10
Rose Sanchez,2
Tara Jackson,32
Quinn Thompson,27
Olivia Thompson,19
Hannah Moore,71
Mona Jackson,94
Ursula Jackson,78
Hannah Jackson,68
Linda Lopez,55
Mona Martin,14
Nate Perez,100
Solo Thomas,36
Rose Clark,30
Steve Gonzalez,38
Grace Lee,15
Mona Lee,6
Steve Wilson,30
Olivia White,54
Xander Thomas,82
Linda Gonzalez,80
Tara Martin,59
Alice Moore,8
Ivan Jackson,14
Rose Ramirez,64
Charlie Taylor,77
David Jackson,69
Steve Anderson,2
Ivan Martin,81
Sky Moore,66
Grace Perez,74
Alice Jackson,30
Steve Thomas,92
Solo Taylor,18
Solo Moore,37
Gamma Thomas,55
Victor Perez,0
Linda Wilson,79
David Martin,45
Quinn White,30
Solo Jackson,74
Hannah Martin,54
Eva Harris,23
Zara Moore,86
Sky Jackson,86
Eva Sanchez,10
David Lee,68
Jack Thomas,46
Jack Taylor,8
Tara Lee,68
Frank Lee,70
Paul King,65
Hannah Lee,65
Alpha Martin,71
Olivia Harris,2
Yara Perez,49
Gamma Taylor,61
Gamma Moore,5
Tara Perez,82
Beta Ramirez,49
Tara Thompson,47
David Perez,32
Grace Thompson,96
Nate Thompson,2
Nate White,45
Quinn Harris,8
Frank Perez,44
Karl Lee,30
Paul Wright,94
Linda Anderson,85
Eva Clark,81
Karl Perez,13
Alice Martin,99
Alpha Lee,75
Gamma Jackson,95
Solo Martin,97
Steve Taylor,42
Charlie Moore,17
Olivia Sanchez,5
Steve Moore,45
Steve Jackson,70
Delta Clark,43
Eva Ramirez,83
Olivia Clark,22
Quinn Sanchez,100
Mona Perez,88
Beta Lewis,60
Hannah Perez,90
Olivia Ramirez,62
Jack Moore,81
Rose Lewis,23
Jack Jackson,17
Eva Lewis,8
David Thompson,92
Karl Thompson,100
Tara White,59
Steve Martin,4
Gamma Martin,37
Hannah Thompson,25
Delta Ramirez,5
Tara Harris,25
Zara Jackson,5
Rose Robinson,40
Sky Martin,39
Gamma Lee,66
Frank Thompson,50
Charlie Jackson,70
Beta Robinson,61
Ursula Martin,32
Quinn Clark,4
Bob Martin,97
Frank White,83
Olivia Lewis,24
Bob Lee,36
Rose Walker,45
Charlie Martin,100
Linda Thomas,6
Solo Lee,84
Gamma Perez,42
Rose Young,34
Linda Taylor,15
Beta Walker,47
Sky Lee,56
Frank Harris,51
Solo Perez,96
Wendy Taylor,57
Alpha Perez,49
Victor Thompson,43
Ursula Lee,23
Grace White,64
Karl White,89
Victor White,64
Alpha Thompson,47
Sky Perez,67
Steve Lee,34
Zara Martin,10
Charlie Lee,94
Delta Lewis,55
Frank Sanchez,10
Ursula Perez,56
Quinn Ramirez,78
Ursula Thompson,23
Hannah White,70
Zara Lee,37
Alice Lee,41
Delta Robinson,13
Alpha White,10
David White,41
Mona Thompson,85
Xander Taylor,37
Sky Thompson,39
Gamma Thompson,58
David Harris,78
Nate Harris,92
Rose Allen,55
Ivan Lee,21
Steve Perez,89
Gamma White,57
Sky White,44
Hannah Harris,58
Bob Perez,5
Paul Scott,94
Karl Harris,45
Tara Sanchez,79
Alice Perez,56
Alpha Harris,35
Frank Clark,82
Olivia Robinson,7
Hannah Sanchez,9
Delta Walker,86
Hannah Clark,82
Jack Martin,51
Sky Harris,46
Steve Thompson,66
Rose King,96
Alpha Sanchez,87
Solo Thompson,20
Solo White,3
Paul Torres,18
Delta Young,78
Jack Lee,87
Yara Thompson,57
Mona White,4
Ivan Perez,16
Eva Robinson,8
Rose Wright,30
Alpha Clark,100
Victor Harris,83
Rose Scott,46
Alice Thompson,46
Steve White,49
Tara Clark,73
Sky Sanchez,4
Jack Perez,78
Gamma Harris,19
Solo Harris,87
Wendy Moore,58
Victor Sanchez,47
Yara White,47
Delta Allen,57
Ursula White,98
Mona Harris,9
Paul Nguyen,74
Yara Harris,17
Olivia Walker,68
Alpha Ramirez,46
Charlie Perez,50
Ursula Harris,40
Solo Sanchez,84
Yara Sanchez,35
Yara Clark,31
Jack Thompson,14
Sky Clark,3
Charlie Thompson,95
Ivan Thompson,23
Victor Clark,64
Grace Harris,67
Gamma Sanchez,49
Grace Sanchez,72
Delta King,15
Alice White,33
Jack White,100
Alpha Lewis,33
Jack Harris,91
Eva Walker,58
Solo Clark,27
Quinn Lewis,79
Victor Ramirez,36
Zara Perez,89
Frank Ramirez,63
Victor Lewis,25
Yara Ramirez,15
Ursula Sanchez,17
Sky Ramirez,9
Charlie White,58
Eva Young,22
Paul Hill,92
Steve Harris,57
Olivia Young,11
Frank Lewis,88
Beta Young,40
Grace Clark,86
Grace Ramirez,44
Gamma Clark,91
Karl Sanchez,8
Tara Ramirez,71
Bob Thompson,70
Charlie Harris,37
Ursula Clark,38
David Sanchez,20
Steve Sanchez,92
Wendy Jackson,91
Xander Moore,90
Beta Allen,82
Jack Sanchez,22
Paul Flores,46
Alpha Robinson,66
Linda Moore,28
Karl Clark,15
Linda Jackson,25
Frank Robinson,17
Yara Lewis,30
Paul Green,64
Sky Lewis,3
Jack Clark,46
Olivia Allen,71
Delta Wright,74
Quinn Robinson,47
Delta Scott,60
Quinn Walker,71
Alice Harris,16
Delta Torres,79
Steve Clark,11
Karl Ramirez,8
Eva Allen,39
Gamma Ramirez,50
Wendy Martin,52
Tara Lewis,93
Beta King,62
Quinn Young,68
Delta Nguyen,53
Tara Robinson,99
Mona Sanchez,53
Yara Robinson,74
Solo Ramirez,9
Grace Lewis,16
Paul Adams,40
Yara Walker,83
Wendy Lee,9
Steve Ramirez,58
Steve Lewis,60
Bob White,88
Zara Thompson,67
Rose Torres,44
Alice Sanchez,16
David Clark,100
Sky Robinson,71
Steve Robinson,82
Olivia King,76
Wendy Perez,23
Olivia Wright,99
Mona Clark,16
Quinn Allen,56
Ivan White,65
Grace Robinson,7
Charlie Sanchez,15
Tara Walker,67
Gamma Lewis,19
Charlie Clark,38
Xander Jackson,21
Ivan Harris,20
Frank Walker,41
Steve Walker,91
Ursula Ramirez,28
Alpha Walker,44
Linda Martin,67
Mona Ramirez,36
Ivan Sanchez,10
Xander Martin,32
Rose Nguyen,25
Karl Lewis,82
Quinn King,71
Solo Lewis,35
Steve Young,16
Victor Robinson,81
Hannah Ramirez,38
Delta Hill,79
Eva King,69
Jack Ramirez,11
Olivia Scott,65
Zara White,83
Xander Lee,21
Frank Young,76
Zara Harris,75
Alice Clark,19
Quinn Wright,21
Hannah Lewis,85
Delta Flores,80
Xander Perez,93
Quinn Scott,78
Yara Young,43
Xander Thompson,73
Grace Walker,5
Olivia Torres,3
Solo Robinson,10
Bob Harris,5
Ursula Lewis,83
Olivia Nguyen,99
Eva Wright,74
Delta Green,33
Tara Young,84
Alpha Young,26
Hannah Robinson,99
Ivan Clark,74
Charlie Ramirez,54
Charlie Lewis,80
Tara Allen,82
Sky Walker,3
Hannah Walker,64
Grace Young,81
Paul Nelson,70
Ivan Ramirez,37
Yara Allen,83
Delta Adams,38
Xander White,62
Alpha Allen,31
Jack Lewis,88
Alpha King,51
Grace Allen,38
Sky Young,59
Alpha Wright,9
Rose Hill,89
Charlie Robinson,7
Xander Harris,20
Nate Sanchez,57
Gamma Robinson,54
Gamma Walker,62
Paul Baker,60
Xander Sanchez,26
Grace King,43
Xander Clark,78
Wendy Thompson,18
David Ramirez,40
Zara Sanchez,92
Rose Flores,40
Mona Lewis,94
Hannah Young,44
Delta Nelson,51
